"IYR","IMO","RAILROAD","INCDTNO","TYPPERS","JOBCODE","NATINJ","LOCATION","IFATAL","OCCODE","TCODE","AGE","DAYSABS","DAYSRES","DUMMY","STATE","TYPRR","DUMMY1","REGION","DUMMY2","NARRLEN","CASFATAL","CAS57","CAS54","DUMMY3","DAY","YEAR4","TIMEHR","TIMEMIN","AMPM","COUNTY","CNTYCD","STCNTY","ALCOHOL","DRUG","PHYACT","LOCA","LOCB","LOCC","EVENT","TOOLS","INJCAUS","HZMEXPOS","TERMINAT","NARR1","NARR2","NARR3","COVERDATA","LATITUDE","LONGITUD"
"87","01","UP","0187IL014","D",,"10","9",,"609","T","45",0.00,0.00,,"05","1L",,"5","W",0.00,"N","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187IL015","D",,"90","5","F","609","T","55",0.00,0.00,,"05","1L",,"5","W",0.00,"Y","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187KA025","E",,"90","6","G","703","T","26",0.00,0.00,,"40","1L",,"5","W",0.00,"Y","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187KA025","E",,"95","6","G","703","T","24",0.00,0.00,,"40","1L",,"5","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187KA025","E",,"20","6","C","703","T","27",0.00,0.00,,"40","1L",,"5","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187KA025","E",,"20","6","C","703","T","25",0.00,0.00,,"40","1L",,"5","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187KA026","E",,"93","5","E","609","T","28",0.00,0.00,,"05","1L",,"5","W",0.00,"N","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187KA027","E",,"20","6","C","709","T","40",0.00,0.00,,"40","1L",,"5","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187KA028","D",,"30","5","E","610","T","14",0.00,0.00,,"20","1L",,"6","W",0.00,"N","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187KA029","D",,"93","5","E","609","T","23",0.00,0.00,,"05","1L",,"5","W",0.00,"N","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187KA030","D",,"93","5","E","609","T","39",0.00,0.00,,"05","1L",,"5","W",0.00,"N","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187LA014","D",,"99","9",,"609","T","28",0.00,0.00,,"22","1L",,"5","W",0.00,"N","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187NE009","D",,"70","1",,"609","T","19",0.00,0.00,,"31","1L",,"6","W",0.00,"N","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187OR014","D",,"93","5","E","609","T","21",0.00,0.00,,"53","1L",,"8","W",0.00,"N","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187OR014","D",,"90","5","E","609","T","22",0.00,0.00,,"53","1L",,"8","W",0.00,"Y","Y","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187SR006","A","314","20","3","B","939",,"30",7.00,0.00,,"06","1L",,"7","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187SR007","A","313","75","5","D","869",,"24",0.00,0.00,,"06","1L",,"7","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187SR008","A","313","99","3","C","891",,"29",0.00,20.00,,"06","1L",,"7","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187SR009","B","313","20","3","D","939",,"34",0.00,0.00,,"06","1L",,"7","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187SR010","A","310","10","6","I","978",,"29",0.00,0.00,"P","22","1L",,"5","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187SR011","A","311","20","1","C","899",,"32",0.00,0.00,,"06","1L",,"7","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","UP","0187WY011","A","619","20","5","F","119","T","34",0.00,10.00,,"56","1L",,"8","W",0.00,"N","N","N",,"00","1987",0.00,0.00,,,,,,,,,,,,,,,,,,,,,
"87","01","ATK","70104PHL01","C",,"20","6","C","601","C","21",0.00,0.00,,"24","1L","4M8","2","E",0.00,"N","N","Y",,"00","1987",0.00,0.00,,,,,"00","01",,,,,,,,,,,,,,,
"87","01","ATK","70104PHL01","C",,"20","6","C","601","C","30",0.00,0.00,,"24","1L","4M8","2","E",0.00,"N","N","Y",,"00","1987",0.00,0.00,,,,,"00","01",,,,,,,,,,,,,,,
